,Owner Code,Note Changes,Extra Notes,Status,
730,City of Muscatine,,,,TRUE
731,City of Myrtle Beach,,,,TRUE
732,City of Nacogdoches,,,,TRUE
733,City of Napaskiak,,,,TRUE
734,City of Nashua,,,,TRUE
735,City of Neligh,,,,TRUE
736,City of New Bedford,,,,TRUE
737,City of New Britain,,,,TRUE
738,City of New London,,,,TRUE
739,City of New Salem,,,,TRUE
740,City of Newberg,,,,TRUE
741,City of Newcastle,,,,TRUE
742,City of Newhalen,,,,TRUE
743,City of Newport,,,,TRUE
744,City of Newport Beach,,,,TRUE
745,City of Newton,,,,TRUE
746,City of Niagara Falls,,,,TRUE
747,City of Norman,,,,TRUE
748,City of North Adams,,,,TRUE
749,City of North Augusta,,,,TRUE
750,City of North Myrtle Beach,,,,TRUE
751,City of North Platte,,,,TRUE
752,City of North Powder,,,,TRUE
753,City of North Tonawanda,,,,TRUE
754,City of Northampton,,,,TRUE
755,City of Norwich,,,,TRUE
756,City of Nuiqsut,,,,FALSE
758,City of Oakley,,,,TRUE
759,City of Oconto,,,,FALSE
757,City of O'Fallon,,,,FALSE
760,City of Olathe,,,,TRUE
761,City of Old Town,,,,TRUE
762,City of Olton,,,,TRUE
763,City of Onida,,,,TRUE
764,City of Ormond Beach,,,,TRUE
765,City of Osceola,,,,TRUE
766,City of Oswego,,,,TRUE
767,City of Oxford,,,,TRUE
768,City of Oxnard,,,,TRUE
769,City of Ozark,,,,TRUE
770,City of Palo Alto,,,,TRUE
771,City of Pampa,,,,TRUE
772,City of Panhandle,,,,TRUE
773,City of Paris,,,,TRUE
774,City of Paso Robles,,,,TRUE
775,City of Pauls Valley,,,,TRUE
776,City of Pawtucket,,,,TRUE
777,City of Payson,,,,TRUE
778,City of Pearl,,,,TRUE
779,City of Pecos,,,,TRUE
780,City of Pensacola,,,,TRUE
781,City of Peoria,,,,TRUE
782,City of Perryton,,,,TRUE
783,City of Perth Amboy,,,,TRUE
784,City of Petersburg,,,,TRUE
785,City of Pharr,,,,TRUE
786,City of Phenix,,,,TRUE
787,City of Philadelphia,,,,TRUE
788,City of Philippi,,,,TRUE
789,City of Phoenix,,,,TRUE
790,City of Pierre,,,,TRUE
791,City of Pikeville,,,,TRUE
792,City of Pittsburg,,,,TRUE
793,City of Plainview,,,,TRUE
794,City of Point Hope,,,,TRUE
795,City of Pontotoc,,,,TRUE
796,City of Port Angeles,,,,TRUE
797,City of Port Arthur,,,,TRUE
798,City of Portage,,,,TRUE
799,City of Portland,,,,TRUE
800,City of Portsmouth,,,,TRUE
801,City of Post,,,,TRUE
802,City of Pottsville,,,,TRUE
803,City of Poughkeepsie,,,,TRUE
804,City of Powers,,,,TRUE
805,City of Prescott,,,,TRUE
806,City of Presidio,,,,TRUE
807,City of Presque Isle,,,,TRUE
808,City of Princeton,,,,TRUE
809,City of Pulaski,,,,TRUE
810,City of Rapid City,,,,TRUE
811,City of Raton,,,,TRUE
812,City of Rawlins,,,,TRUE
813,City of Redding,,,,TRUE
814,City of Redlands,,,,TRUE
815,City of Reidsville,,,,TRUE
816,City of Rialto,,,,TRUE
817,City of Richland,,,,TRUE
818,City of Richmond,,,,TRUE
819,City of Richmond Sanitary District,,,,TRUE
820,City of Riverview,,,,TRUE
821,City of Robert Lee,,,,TRUE
822,City of Rochelle,,,,TRUE
823,City of Rock River,,,,TRUE
824,City of Rockland,,,,TRUE
825,City of Rocky Mount,,,,TRUE
826,City of Rocky River,,,,TRUE
827,City of Rogers,,,,TRUE
828,City of Rogers City,,,,TRUE
829,City of Roma,,,,TRUE
830,City of Rome,,,,TRUE
831,City of Roswell,,,,TRUE
832,City of Sabinal,,,,TRUE
833,City of Sac City,,,,TRUE
834,City of Safford,,,,TRUE
835,City of Saint Peters,,,,TRUE
836,City of Salem,,,,TRUE
837,City of Salina,,,,TRUE
838,City of Sallisaw,,,,TRUE
839,City of San Angelo,,,,TRUE
840,City of Sand Point,,,,TRUE
841,City of Santa Cruz,,,,TRUE
842,City of Santa Maria,,,,TRUE
843,City of Santa Monica,,,,TRUE
844,City of Santa Rosa,,,,TRUE
845,City of Saratoga Springs,,,,TRUE
846,City of Sardis,,,,TRUE
847,City of Savanna,,,,TRUE
848,City of Savannah,,,,TRUE
849,City of Sayre,,,,TRUE
850,City of Schenectady,,,,TRUE
851,City of Scottsboro,,,,TRUE
852,City of Scottsville/Allen County,,,,TRUE
853,City of Sealy,,,,TRUE
854,City of Searcy,,,,TRUE
855,City of Seattle,,,,TRUE
856,City of Seminole,,,,TRUE
857,City of Seneca,,,,TRUE
858,City of Sevierville,,,,TRUE
859,City of Seymour,,,,TRUE
860,City of Shaker Heights,,,,TRUE
861,City of Shamrock,,,,TRUE
862,City of Shaniko,,,,TRUE
863,City of Sharon Springs,,,,TRUE
864,City of Shelby,,,,TRUE
865,City of Shelbyville,,,,TRUE
866,City of Sheridan,,,,TRUE
867,City of Sherrill,,,,TRUE
868,City of Shreveport,,,,TRUE
869,City of Sidney,,,,TRUE
870,City of Signal Mountain,,,,TRUE
871,City of Siloam Springs,,,,TRUE
872,City of Silsbee,,,,TRUE
873,City of Sioux City,,,,TRUE
874,City of Sioux Falls,,,,TRUE
875,City of Snyder,,,,TRUE
876,City of Socorro,,,,TRUE
877,City of Somerset,,,,TRUE
878,City of South Burlington,,,,TRUE
879,City of South Gate,,,,TRUE
880,City of Sparta,,,,TRUE
881,City of Spartanburg,,,,TRUE
882,City of Spencer,,,,TRUE
883,City of Spiro,,,,TRUE
884,City of Spokane Regional Solid Waste System,,,,TRUE
885,City of Springfield,,,,TRUE
886,City of St. Cloud,,,,TRUE
887,City of St. Johns,,,,TRUE
888,City of St. Joseph,,,,TRUE
889,City of St. Louis,,,,TRUE
890,City of St. Marys,,,,TRUE
891,City of St. Robert,,,,TRUE
892,City of Stanley,,,,TRUE
893,City of Stanton,,,,TRUE
894,City of Statesboro,,,,TRUE
895,City of Stephenville,,,,TRUE
896,City of Stockton,,,,TRUE
897,City of Stratford,,,,TRUE
898,City of Strongsville,,,,TRUE
899,City of Stuttgart,,,,TRUE
900,City of Summit,,,,TRUE
901,City of Sunbury Municipal Authority,,,,TRUE
902,City of Sundance,,,,TRUE
903,City of Sunnyvale,,,,TRUE
904,City of Superior,,,,TRUE
905,City of Sweetwater,,,,TRUE
906,City of Syracuse,,,,TRUE
907,City of Tacoma,,,,TRUE
908,City of Tahlequah,,,,TRUE
909,City of Tahoka,,,,TRUE
910,City of Tampa,,,,TRUE
911,City of Taunton,,,,TRUE
912,City of Tekamah,,,,TRUE
913,City of Temple,,,,TRUE
914,City of Terrell,,,,TRUE
915,City of Thermopolis,,,,TRUE
916,City of Thomasville,,,,TRUE
917,City of Tifton,,,,TRUE
918,City of Toledo,,,,TRUE
919,City of Torrington,,,,TRUE
920,City of Trenton,,,,TRUE
921,City of Trinidad,,,,TRUE
922,City of Troutdale,,,,TRUE
923,City of Truth Or Consequences,,,,TRUE
924,City of Tucson,,,,TRUE
925,City of Tucumcari,,,,TRUE
926,City of Tulelake,,,,TRUE
927,City of Tulia,,,,TRUE
928,City of Turkey,,,,TRUE
929,City of Tyler,,,,TRUE
930,City of Unalaska,,,,TRUE
931,City of Unity,,,,TRUE
932,City of University Park,,,,TRUE
933,City of Uvalde,,,,TRUE
934,City of Valdez,,,,TRUE
935,City of Valdosta,,,,TRUE
936,City of Valentine,,,,TRUE
937,City of Valley City,,,,TRUE
938,City of Vaughn,,,,TRUE
939,City of Vermillion,,,,TRUE
940,City of Vernon,,,,TRUE
941,City of Vernonia,,,,TRUE
942,City of Victoria,,,,TRUE
943,City of Vinita,,,,TRUE
944,City of Virginia Beach,,,,TRUE
945,City of Waco,,,,TRUE
946,City of Wadsworth,,,,TRUE
947,City of Waldron,,,,TRUE
948,City of Wall,,,,TRUE
949,City of Walla Walla,,,,TRUE
950,City of Wamsutter,,,,TRUE
951,City of Warren,,,,TRUE
952,City of Washington,,,,TRUE
953,City of Waterbury,,,,TRUE
954,City of Watertown,,,,TRUE
955,City of Watsonville,,,,TRUE
956,City of Waupun,,,,TRUE
957,City of Waurika,,,,TRUE
958,City of Wauwatosa,,,,TRUE
959,City of Wayne,,,,TRUE
960,City of Weimar,,,,TRUE
961,City of Wellington,,,,TRUE
962,City of Weslaco,,,,TRUE
963,City of West Helena,,,,TRUE
964,City of West Plains,,,,TRUE
965,City of West Point,,,,TRUE
966,City of West Wendover,,,,TRUE
967,City of Westfield,,,,TRUE
968,City of Westlake,,,,TRUE
969,City of Wheatland,,,,TRUE
970,City of Whittier,,,,TRUE
971,City of Wichita Falls,,,,TRUE
972,City of Williams,,,,TRUE
973,City of Williston,,,,TRUE
974,City of Wilmington,,,,TRUE
975,City of Winnfield,,,,TRUE
976,City of Winston-Salem,,,,TRUE
977,City of Wolf Point,,,,TRUE
978,City of Woodruff,,,,TRUE
979,City of Woodville,,,,TRUE
980,City of Worcester,,,,TRUE
981,City of Wrangell,,,,TRUE
982,City of Yankton,,,,TRUE
983,City of Yoakum,,,,TRUE
984,City of Yonkers,,,,TRUE
985,City of York,,,,TRUE
986,City of Yukon,,,,FALSE
355,City Recycling,,,,FALSE
987,Claiborne County,,,,TRUE
988,Clarendon County,,,,TRUE
989,Clark County,,,,TRUE
990,Clark Township,,,,TRUE
991,Clarke County,,,,TRUE
992,Clarke County Landfill Commission,,,,TRUE
993,Clarke Inc,,,,TRUE
994,Clay County,,,,TRUE
995,Clayton County,,,,TRUE
996,Clayton-Ward Company,,,,FALSE
264,CLEA,,,,TRUE
265,CLEAN,,,,FALSE
997,Clean Burning Fuels Inc,,,,TRUE
998,Clear Creek County,,,,TRUE
999,Clear Creek Disposal,,,,TRUE
1000,Clearfield MMG,,,,TRUE
1001,Clearwater County,,,,TRUE
1002,Clearwater Environmental,,,,TRUE
1003,Cleveland County,,,,TRUE
1004,Clifford Hill Sanitation Services,,,,TRUE
1005,Clifton Brooks,,,,TRUE
1006,Clinton County Area Solid Waste Agency,,Assumed to be different,,TRUE
1007,Clinton County Solid Waste Authority,,Assumed to be different,,TRUE
1008,Clinton Lewis Construction Company,,,,TRUE
1009,Cloud County,,,,FALSE
266,CMC Recycling,,,,FALSE
1010,Coahoma County,,,,TRUE
1011,Coastal Recycling Services,,,,TRUE
1012,Coastal Regional Solid Waste Management Authority,,,,TRUE
1013,Cobb County,,,,TRUE
1014,Cochise County,,,,TRUE
1015,Coconino County,,,,TRUE
1016,Coffee County,,,,TRUE
1017,Coffee County-17 Mile River SLF,,,,TRUE
1018,Coffey County,,,,TRUE
1019,"Cold Creek Compost, Inc",,,,TRUE
1020,Cold Springs Processing Inc.,,,,TRUE
1021,Colleton County,,,,TRUE
1022,Collier County Solid Waste Management,,,,TRUE
1023,Colquitt County,,,,TRUE
1024,"Colt Refining, Inc.",,,,TRUE
1025,Columbia County,,,,TRUE
1026,Columbia County Solid Waste,,,,TRUE
1027,Columbus County,,,,TRUE
1028,Colusa County,,,,TRUE
1029,"Commercial Paving & Recycling, Co., LLC (CPRC)",,,,TRUE
1030,Commonwealth Environmental Systems LP,,,,TRUE
1031,Community Entry Services,,,,TRUE
1032,Community Recycling Center,,,,TRUE
1033,Community Recycling Center of Morehead,,,,TRUE
1034,Community Recycling Services,,,,TRUE
1035,Community Waste Disposal L.P.,Get rid of L.P.,,,TRUE
1036,Community Waste Solutions,,,,FALSE
1039,"Connecticut Waste Processing Materials, LLC",,,,FALSE
1037,"Con-Serv Industries, Inc.",,,,FALSE
1040,"Consolidated Disposal Services, Inc.",,,,TRUE
1041,Consolidated Landfill Ltd,,,,TRUE
1042,"Construction Demolition Recycling, Inc",,,,FALSE
1038,Con-Strux LLC,,,,FALSE
1043,Contractors Market,,,,TRUE
1044,Contractors Recycling Service,,,,TRUE
1045,Cook County,,,,TRUE
1046,Cooper Tank & Welding Corporation,,,,TRUE
1047,Coos County,,,,TRUE
1048,Cortland County,,,,TRUE
1049,Costilla County,,,,TRUE
1050,Cottonwood County,,,,TRUE
1051,"Country Waste, Inc.",,,,TRUE
1052,"County Waste, LLC",,,,FALSE
267,COV,,,,FALSE
1053,Coweta County,,,,TRUE
1054,Cowley County,,,,TRUE
1055,Cowlitz County,,,,FALSE
268,CR&R,,,,FALSE
1056,Craighead County Solid Waste Disposal Authority,,,,TRUE
1057,Craven County,,,,TRUE
1058,Crawford County,,,,TRUE
1059,Crisp County Solid Waste Management Authority,,,,TRUE
1060,Crittenden County,,,,TRUE
1061,Crook County,,,,TRUE
1062,"Cross County Recycling, Inc.",,,,TRUE
1063,Crow Wing County,,,,TRUE
1064,Crown Container Corp.,,,,TRUE
1065,"Crown Sanitation, Inc.",,,,FALSE
269,CRRA,,,,FALSE
1066,Cullman Environmental Waste,,,,TRUE
1067,Culpeper County,,,,TRUE
1068,Cumbaa Enterprises Inc,,,,TRUE
1069,Cumberland County,,,,TRUE
1070,Cumberland County Improvement Authority,,,,TRUE
1071,Currituck County,,,,TRUE
1072,Curry County,,,,TRUE
1073,Custer - Fall River Regional Waste Management District,,,,TRUE
1074,Custer County,,,,FALSE
270,CWST,,,,FALSE
1075,"Cycle Chem, Inc.",,,,TRUE
1076,Cycle Systems Inc,,,,TRUE
1077,"D & J Enterprises, Inc.",,,,TRUE
1078,D & S Waste Removal Inc,,,,FALSE
1086,Daggett County,,,,TRUE
1087,Dahl Disposal Service,,,,TRUE
1088,Dallas County,,,,TRUE
1089,Dalton Township,,,,TRUE
1090,Dalton/Whitfield Regional Solid Waste Management Authority,,,,FALSE
1079,DANC/Solid Waste Management Authority,,,,FALSE
1091,Dane County,,,,TRUE
1092,Dare County,,,,TRUE
1093,Darlington County,,,,TRUE
1094,Davidson County,,,,TRUE
1095,Davie County,,,,TRUE
1096,Daviess County,,,,TRUE
1097,Daviess County Solid Waste Management District,,,,TRUE
1098,Davis Sanitation,,,,TRUE
1099,Dawson County,,,,TRUE
1100,Day County,,,,FALSE
1080,DCRA,,,,FALSE
1101,De Baca County,,,,FALSE
1105,Decatur County,,,,FALSE
1102,DeCostole Carting Inc,,,,FALSE
1106,Defiance County,,,,FALSE
1103,DeKalb County,,,,FALSE
1107,Dekalb County,Change all letters to uppercase (Non-case sensitive),,Cleaned sucessfully,TRUE
1108,Del Norte Solid Waste Management Authority,,,,TRUE
1109,Delaware County,,,,
1110,Delaware County Solid Waste Authority,,,,
1111,"Delaware Valley Recycling, Inc.",,,,
1112,Delta County,,,,
1113,Dem-Con Companies,,,,
1114,Des Moines County Regional Solid Waste Commission (RSWC),,,,
1115,Deschutes County,,,,
1116,Desha County,,,,
1117,Desoto County Environmental Services,,,,
1104,DeSoto Parish Police Jury,,,,
1081,DESWA,,,,
1118,Devens Recycling Center LLC.,,,,
1119,Diamond K Waste Inc.,,,,
1120,Dickenson County,,,,
1121,Dickinson County,,,,
1122,Dickson County,,,,
1123,Dillon County,,,,
1124,Dinwiddie County,,,,
1125,Direct Disposal C&D Recycling,,,,
1126,District 7,,,,
1127,Diversified Services Recycling,,,,
1082,DJJ,,,,
1083,DK Organics,,,,
1084,"DKL Holdings, Inc.",,,,
1085,"DM&J Waste, Inc",,,,
1128,Dodge County,,,,
1129,Dolores County,,,,
1130,Dona Ana County,,,,
1131,Doniphan County,,,,
1132,Door County,,,,
1133,Dorchester County,,,,
1134,Dot Lake Village Counsel,,,,
1135,Dougherty County,,,,
1136,Douglas County,,,,
1137,Dover-Foxcroft Regional SW & Recycling Facility,,,,
1138,"Downum's Waste Services, Inc.",,,,
1139,Drummond Sanitary District,,,,
1141,Dubuque Metropolitan Area Solid Waste Agency,,,,
1142,Duchesne County,,,,
1143,Dunn Construction LLC,,,,
1144,Dunn County,,,,
1140,DuPage County,,,,
1145,"Duquesene Energy, Inc.",,,,
1146,Durante Brothers Construction Corp.,,,,
1147,Dutchess County Resource Recovery Agency,,,,
1148,Duval County,,,,
1149,"E. L. Harvey & Sons, Inc.",,,,
1158,Eagle County,,,,
1159,Eagle Enterprises Recycling Inc.,,,,
1160,"Eagle Management Services, Inc.",,,,
1161,Eagle Waste and Recycling Inc.,,,,
1162,East Central Solid Waste Commission,,,,
1163,East Coast Railroad Services,,,,
1164,"East Coast Recycling, Inc. (ECR)",,,,
1165,East Penn Sanitation Inc,,,,
1166,Eastern Carolina Vocational Center,,,,
1150,EC Waste,,,,
1151,ECM of Ridgely,,,,
1152,ECO-C,,,,
1169,Ecology Action of Texas,,,,
1168,EcoMaine,,,,
1170,"Ecospace Business Park, Inc",,,,
1167,"Eco-Tech, LLC",,,,
1153,ECP,,,,
1171,Eddy County,,,,
1172,Eden Valley Solid Waste District,,,,
1173,Edgecombe County,,,,
1174,Edgefield County,,,,
1175,Edwards County,,,,
1176,Effingham County,,,,
1154,EJE Recycling & Disposal,,,,
1177,El Paso C&D Recycling,,,,
1178,Elbert County,,,,
1179,Eldredge Inc,,,,
1180,"Electronic Salvage Industries, LLC",,,,
1155,ELHAR,,,,
1181,Elkhart County,,,,
1182,Elliott Construction Company,,,,
1183,Ellis County,,,,
1184,Ellis Recycling Co,,,,
1185,Elmore County,,,,
1186,Emadco Disposal Service,,,,
1187,Emanuel County,,,,
1188,Emery County,,,,
1189,"Emil Norsic & Son, Inc.",,,,
1190,Emmet County,,,,
1191,Emmet County Council of Governments,,,,
1192,Emterra Environmental USA,,,,
1193,"Environmental Alternatives, Inc.",,,,
1194,Environmental Land Services,,,,
1195,"Environmental Operators, LLC",,,,
1196,"Environmental Options, Inc.",,,,
1197,Environmental Transfer Systems Inc,,,,
1198,Environmentally Conscious Recycling,,,,
1156,EPS,,,,
3252,eRecycleNY,,,,
1199,Erie County,,,,
1200,Escalante City,,,,
1201,Escambia County Solid Waste Management,,,,
1157,ESI,,,,
1202,Esmeralda County,,,,
1203,Estancia Valley Solid Waste Authority,,,,
1204,Eureka County,,,,
1205,Evergreen Disposal Service Inc,,,,
1206,Exceptional Foresters Inc,,,,
1207,"F.C. Hammond & Son Lumber Co., Inc.",,,,
1209,Faherty Inc,,,,
1210,Fairbanks North Star Borough,,,,
1211,Fairfax County,,,,
1212,Fallon County,,,,
1213,Fauquier County,,,,
1214,Fayette County,,,,
1215,Fayette County Commission,,,,
1216,Faztec Industries,,,,
1217,Fentress County,,,,
1218,Ferry County,,,,
1219,Fillmore County,,,,
1220,"Finne Brothers Refuse Systems, Inc",,,,
1221,First Piedmont Corporation,,,,
1222,First Step Recycling,,,,
1223,Fishers Island Waste Management Tax District (FIWM),,,,
1224,"Five Star Carting, Inc.",,,,
1225,Flathead County,,,,
1226,Florida Department of Corrections,,,,
1227,Floyd County,,,,
1228,Floyd-Mitchell-Chickasaw Solid Waste Mgmt Agency,,,,
1229,Fluvanna County,,,,
1230,Ford County,,,,
1231,"Formica Construction, Inc.",,,,
1232,Forsyth County,,,,
1233,Fort Clark Springs Association,,,,
1234,Four Corners Recycling,,,,
1235,Franklin County,,,,
1236,Franklin County Solid Waste Management Authority,,,,
1237,Frederick County,,,,
1238,Freehold Cartage Inc,,,,
1239,"Freeway Transfer, Inc.",,,,
1240,Fremont County,,,,
1241,Fremont County Solid Waste District,,,,
1242,Fresno County,,,,
1243,Friedman Recycling Company,,,,
1244,Fruitland Township,,,,
1245,Fruitridge Road Land Company,,,,
1208,FSR Hauling & Recycling,,,,
1246,Fulton County,,,,
1247,Fultz and Son Hauling Inc,,,,
1248,G. Mello Disposal Corp.,,,,
1252,Gadsden County,,,,
1253,"Gaeta Interior Demolition, Inc.",,,,
1254,"Gaeta Recycling Co., Inc",,,,
1255,Gallatin County,,,,
1256,Gallia County,,,,
1257,Gallia/Jackson/Meigs/Vinton Solid Waste Management District,,,,
1258,Galveston County,,,,
1259,Garden Isle Disposal,,,,
1260,Garfield County,,,,
1261,Garland County,,,,
1262,Garner State Park,,,,
1263,Garner Tire Company MRF,,,,
1264,Garrett County,,,,
1265,Garrison Disposal Company,,,,
1266,Gary's Service,,,,
1267,Gaston County,,,,
1268,Gateway Products Recycling Inc.,,,,
1269,Gateway Resource Recovery Inc,,,,
1270,Geary County,,,,
1249,GEL Corporation,,,,
1271,Gem County,,,,
1272,"Generated Materials Recovery, LLC",,,,
1273,Genesee Waste Services Inc.,,,,
1275,Georgetown County,,,,
1276,"Georgia Shingle Recyclers, LLC",,,,
1274,GeoSource,,,,
1277,Gershow Recycling Corp.,,,,
1278,Get Rid of It By Recycling Inc,,,,
1279,Geving Sanitation,,,,
1250,GFL,,,,
1280,Gila County,,,,
1281,Gilchrist County,,,,
1282,Giles County Public Service Authority,,,,
1283,Gilmer County,,,,
1284,Gilpin County,,,,
1285,"Gilton Resource Recovery Facility, Inc.",,,,
1286,Giordano Recycling Corp.,,,,
1287,Glades County,,,,
1288,Glasscock County,,,,
1289,Glenn County,,,,
1290,Global Container Terminals Inc.,,,,
1291,Gloucester County,,,,
1292,Gloucester County Improvement Authority,,,,
1293,Gogebic Range Solid Waste Management Authority,,,,
1294,Going Garbage & Recycling Inc.,,,,
1295,Golden Triangle Regional SWMA,,,,
1296,Golden Valley Environmental LLC,,,,
1297,Goochland County,,,,
1298,Gooding County,,,,
1299,Goodwin Septic Services,,,,
1300,Gordon County,,,,
1301,Gove County,,,,
1302,Grace Pacific Corp.,,,,
1303,Graham County,,,,
1304,Grand County,,,,
1305,Granite County Solid Waste District,,,,
1306,Grant County,,,,
1307,Grant Parish Police Jury,,,,
1308,Granville County,,,,
1309,Gray County,,,,
1310,Great American Disposal Inc,,,,
1311,Great River Regional Waste Authority (GRRWA),,,,
1312,Greater Lebanon Refuse Authority,,,,
1313,Greater New Bedford Regional Refuse Mgmt District,,,,
1314,Greeley County,,,,
1315,Green County,,,,
1316,Green Day Waste & Recycling,,,,
1317,"Green Group Holdings, LLC",,,,
1318,Green Sky Industries,,,,
1320,Greenbrier County,,,,
1321,Greenburgh Township,,,,
1322,Greene County,,,,
1323,Greenlee County,,,,
1324,Greensville County,,,,
1325,Greentree Solid Waste Authority,,,,
1326,Greenville County,,,,
1319,"GreenWay Recycling Services, LLC",,,,
1327,Greenwood County,,,,
1328,Gregory County,,,,
1329,Griffin Brothers Companies,,,,
1251,GRNGR,,,,
1330,Grover's Stump Dump,,,,
1331,Grundy County,,,,
1332,Gueligs Waste Removal & Demolition Llc,,,,
1333,Gunnison County,,,,
1334,Guthrie County,,,,
1335,H & H Recycling,,,,
1336,"H.A.M. Sanitary Landfill, Inc.",,,,
1337,Habersham County,,,,
1338,"Hainesport Industrial Railroad, LLC.",,,,
1339,Halifax County,,,,
1340,Hall County,,,,
1341,Hamilton County,,,,
1342,Hamm Waste Services,,,,
1343,Hancock County,,,,
1344,Handle Safe Systems LLC,,,,
1345,Hanover County,,,,
1346,Haralson County,,,,
1347,Hardee County,,,,
1348,Hardeman County,,,,
1349,Hardin County,,,,
1350,Harford County,,,,
1351,Harnett County,,,,
1352,Harney County,,,,
1353,Harper County,,,,
1354,Harris Containers,,,,
1355,Harris County,,,,
1356,Harrison County Landfill Commission,,,,
1357,Harrison Industries,,,,
1358,Hart County,,,,
1359,"Harter's Trash & Recycling, Inc",,,,
1360,Hartley County,,,,
1361,Harvey County,,,,
1362,Haskell County,,,,
1363,Hawaii County,,,,
1364,Hays County,,,,
1365,Haywood County,,,,
1366,Henderson County,,,,
1367,Henderson Recycling,,,,
1368,Hendry County,,,,
1369,Hennepin County,,,,
1370,Henrico County,,,,
1371,Henry County,,,,
1372,Herb Holden Trucking Inc,,,,
1373,Hermann Brothers / Evergreen Fibre,,,,
1374,Hernando County,,,,
1375,Hertford County,,,,
1377,Hiawatha Shores,,,,
1378,Hickman County,,,,
1379,Hidalgo County,,,,
1380,High Country Joint Powers Board LF,,,,
1381,High Plains Recyclers,,,,
1382,Highland County,,,,
1383,Highlands County,,,,
1384,Hill County,,,,
1385,Hill Sand Company Inc,,,,
1386,Hillsborough County Solid Waste,,,,
1387,"Hilltopper Refuse & Recycling Service, Inc.",,,,
1388,"Hinkle Holding Company, LLC",,,,
1389,Hinsdale County,,,,
1376,Hi-Tech Resource Recovery,,,,
1390,Hodgdon Brothers & Sons Inc,,,,
1391,Hodgeman County,,,,
1392,Hoffman Construction Co Inc,,,,
1393,Hoke County,,,,
1394,Holdorff's Recycling Ctr,,,,
1395,Homewood Disposal,,,,
1396,Honolulu Recovery Systems,,,,
1397,Hood River County,,,,
1398,Hopkinsville Solid Waste Authority,,,,
1399,Horry County Solid Waste Authority,,,,
1400,Hot Spring County Solid Waste Authority,,,,
1401,Houghton County,,,,
1402,Housatonic Resources Recovery Authority,,,,
1403,Houston County,,,,
1404,Howard County,,,,
1405,Howard Disposal,,,,
1406,"Hubbard Brothers, Inc.",,,,
1407,Hubbard County,,,,
1408,Hubbard Sand & Gravel Corp,,,,
1409,Hudspeth County,,,,
1410,Huerfano County,,,,
1411,Hull-Daisetta Landfill,,,,
1412,Humbert Refuse & Recycling,,,,
1413,Humboldt County,,,,
1414,Humboldt Sanitation Co Inc,,,,
1415,Humboldt Waste Management Authority,,,,
1416,Humpf Sanitation & Trucking,,,,
1417,Hunterdon County Utilities Authority,,,,
1418,Huntsville Solid Waste Disposal Authority,,,,
1419,Huron County,,,,
1420,Hutchinson County,,,,
1422,Idaho Recycling,,,,
1423,Idaho Waste Systems Inc,,,,
1424,Ideal Refuse Removal,,,,
1425,Imperial County,,,,
1426,Importico's Inc.,,,,
1427,"Independent Recycling Services, Inc.",,,,
1428,Indian River County Solid Waste Disposal District,,,,
1429,Indiana Waste Service,,,,
1430,Industrial R & R of Hanover Inc,,,,
1431,"Inner Plant Systems, Inc",,,,
1432,Interlocal Solid Waste Authority (ISWA),,,,
1433,Intermountain Regional Landfill,,,,
1434,International Paper,,,,
1435,Interstate Disposal,,,,
1436,Interstate Plastic Inc,,,,
1437,Interstate Recycling,,,,
1438,Inyo County Integrated Waste Management,,,,
1439,Iowa County,,,,
1440,"Iowa Waste Systems, Inc.",,,,
1421,IP,,,,
1441,Iredell County,,,,
1442,Iron County,,,,
1443,Isabella County Recycling Center,,,,
1444,Island County,,,,
1445,Island Demo,,,,
1446,Island Recycling,,,,
1447,Itasca County,,,,
1448,J Bruno & Sons Inc,,,,
1449,J D Refuse Service,,,,
1450,J Fons Company Inc,,,,
1451,"J. Manzo Recycling Co., LLC",,,,
1452,"J. Pyskaty Disposal, Inc.",,,,
1453,J. Schwartz Motor Transportation,,,,
1454,"J. Vinch & Sons, Inc.",,,,
1455,"J.C. Fibers Rochester, Inc.",,,,
1460,Jackson County,,,,
1461,Jackson Fibers,,,,
1462,Jackson Parish Police Jury,,,,
1463,Jackson Township,,,,
1464,James City County,,,,
1465,James G. Grant Company,,,,
1466,James Wolfe Contracting Inc,,,,
1467,Jasper County,,,,
1468,Jax Recycling Inc,,,,
1469,Jeff Davis County,,,,
1470,Jefferson County,,,,
1471,Jefferson County Solid Waste Authority,,,,
1472,Jefferson County Solid Waste District,,,,
1473,Jefferson Davis County,,,,
1474,Jefferson Davis Parish,,,,
1475,Jefferson Parish,,,,
1476,"Jeffrey A. Simpson, Inc.",,,,
1477,"Jendro Sanitation Services, Inc.",,,,
1478,Jenkins County,,,,
1479,Jerome County,,,,
1480,Jet Paper Stock Corp.,,,,
1481,Jewell County,,,,
1482,Jim Hogg County,,,,
1456,"JKS Ventures, Inc.",,,,
1457,JMW Companies,,,,
1483,"Jo-com Trucking, Inc.",,,,
1484,John Danna & Sons Inc,,,,
1485,John L Hardin,,,,
1486,"John Rock & Co., Inc.",,,,
1487,John Savoy Enterprises,,,,
1488,John's Disposal,,,,
1489,Johnson County,,,,
1490,Johnston County,,,,
1491,Jones County,,,,
1492,"Joseph J. Brunner, Inc.",,,,
1493,Josephine County,,,,
1458,JPMAS,,,,
1494,Juab Rural Development Agency,,,,
1495,Juneau County,,,,
1496,Justus Recycling Corp,,,,
