,Operator Code,Note Changes,Extra Notes,Status
987,Clayton Ward Inc,,These should be the same?  Least based on google search,
988,Clayton-Ward Company,,,
308,CLEA,,,
309,CLEAN,,,
989,Clean Burning Fuels Inc,,,
990,"Clean Management Environmental Group, Inc. (CMEG)",,,
991,Clear Creek County,,,
992,Clearwater County,,,
993,Clearwater Environmental,,,
994,Cleveland County,,,
995,Cliff / Gila Counties,,,
996,Cliff Berry Inc,,,
997,Clifford Hill Sanitation Services,,,
998,Clifton Brooks,,,
999,Clinton County Area Solid Waste Agency,,,
1000,Clinton County Solid Waste Authority,,,
1001,Clinton Lewis Construction Company,,,
1002,Cloud County,,,
1003,Clovis Recycling,,,
1004,Coastal Regional Solid Waste Management Authority,,,
1005,Cochise County,,,
1006,Coconino County,,,
1007,Coffee County,,,
1008,Coffey County,,,
1009,Coiners' Scrap Iron & Metal Inc,,,
1010,"Cold Creek Compost, Inc",,,
1011,Cold Springs Processing Inc.,,,
1012,"Colgate Paper Stock Co., Inc",,,
1013,Colleton County,,,
1014,Collier County,,,
1015,Collier County Solid Waste Management,,,
1016,"Colorado Rolloff Services, Inc.",,,
1017,Colquitt County,,,
1018,"Colt Refining, Inc.",,,
1019,Columbia County,,,
1020,Columbia County Solid Waste,,,
1021,Colusa County,,,
1022,"Commercial Paving & Recycling, Co., LLC (CPRC)",,,
1023,"Commercial Waste & Recycling, LLC",,,
1024,Commonwealth Environmental Systems LP,,,
1025,Community Entry Services,,,
1026,Community Recycling Center,,,
1027,Community Recycling Center of Morehead,,,
1028,Community Recycling Services,,,
1029,Community Waste Disposal L.P.,,,
1030,Community Waste Solutions,,,
1032,"Connecticut Waste Processing Materials, LLC",,,
1033,Connelly Recycling,,,
1034,Conshohocken Rail LLC,,,
1035,Consolidated Environmental Services,,,
1036,Consolidated Landfill Ltd,,,
1037,Consolidated Waste Industries,,,
1038,"Construction Demolition Recycling, Inc",,,
1039,Construction Waste,,,
1040,Construction Waste Recycling (iCan),,,
1031,Con-Strux LLC,,,
1041,Contractors Market,,,
1042,Cook County,,,
1043,Cook County Recycling Center,,,
1044,Cooper Tank & Welding Corporation,,,
1045,Cooper Tank Transfer Station,,,
1046,Coos County,,,
1047,Cortland County,,,
1048,Cottonwood County,,,
1049,"Cougle's Recycling, Inc.",,,
1050,"County Waste, LLC",,,
310,COV,,,
1051,Coweta County,,,
1052,Cowley County,,,
1053,Cowlitz County,,,
311,CR&R,,,
1054,Craig County,,,
1055,Craighead County Solid Waste Disposal Authority,,,
1056,Craven County,,,
1057,Crawford County,,,
1058,Crawford County Recycling Center,,,
1059,Crisp County Solid Waste Management Authority,,,
1060,Crook County,,,
1061,"Cross County Recycling, Inc.",,,
1062,Crow Wing County,,,
1063,Crown Container Corp.,,,
1064,"Crown Sanitation, Inc.",,,
312,CRRA,,,
1065,"Cullman Environmental, Inc.",,,
1066,Culpeper County,,,
1067,Cumbaa Enterprises Inc,,,
1068,Cumberland County,,,
1069,Cumberland County Improvement Authority,,,
1070,Cumberland Plateau Regional Waste Management Authority,,,
1071,Currituck County,,,
1072,Custer County,,,
313,CWST,,,
1073,"Cycle Chem, Inc.",,,
1074,Cycle Systems Inc,,,
1075,"D & J Enterprises, Inc.",,,
1076,D & S Waste Removal Inc,,,
1077,D. H. Griffin Companies,,,
1084,Dade County,,,
1085,Dade Recycling Center Inc,,,
1086,Dahl Disposal Service,,,
1087,"Dainty Rubbish Service, Inc.",,,
1088,Dale Transfer Corp,,,
1089,Dallas County,,,
1090,Dalton Township,,,
1091,Dalton/Whitfield Regional Solid Waste Management Authority,,,
1078,DANC/Solid Waste Management Authority,,,
1092,Dane County,,,
1093,Daniel Finley Allen & Co Inc,,,
1094,Daniels County,,,
1095,Dare County,,,
1096,Darlington County,,,
1097,Davidson County,,,
1098,Daviess County,,,
1099,Daviess County Solid Waste Management District,,,
1100,Davis Sanitation,,,
1101,Dawson County,,,
1079,DCRA,,,
1102,De Baca County,,,
1103,De Queen Recycling,,,
1107,Decatur County,,,
1104,DeCostole Carting Inc,,,
1108,Defiance County,,,
1105,DeKalb County,,Should be fixed by putting uppercasing variable,
1109,Dekalb County,,,
1110,Del Norte Solid Waste Management Authority,,,
1111,Delaware County,,,
1112,Delaware County Solid Waste Authority,,,
1113,"Delaware Valley Recycling, Inc.",,,
1114,Deleon Landfill,,,
1115,Delta County,,,
1116,Dem-Con Companies,,,
1117,Denali Borough,,,
1118,Dependable Sanitation Inc.,,,
1119,Dept. of Public Works-Div. of SW Management,,,
1120,Des Moines County Regional Solid Waste Commission (RSWC),,,
1121,Deschutes County,,,
1122,Desha County,,,
1123,Desoto County Environmental Services,,,
1106,DeSoto Parish Police Jury,,,
1080,DESWA,,,
1124,Detail Carting,,,
1125,Devens Recycling Center LLC.,,,
1126,Diamond K Waste Inc.,,,
1127,Dickenson County,,,
1128,Dickson County,,,
1129,Dillon County,,,
1130,Dinwiddie County,,,
1131,Direct Disposal C&D Recycling,,,
1132,District 7,,,
1133,Dittmer Recycling Inc,,,
1134,Diversified Services Recycling,,,
1081,DJJ,,,
1082,DK Organics,,,
1083,"DM&J Waste, Inc",,,
1135,Dodge County,,,
1136,Dolores County,,,
1137,"Don G. Averill Recycling, Inc.",,,
1138,Don's General Services,,,
1139,Dorchester County,,,
1140,Dougherty County,,,
1141,Douglas County,,,
1142,Douglas Disposal Inc,,,
1143,Dover-Foxcroft Regional SW & Recycling Facility,,,
1144,Dower House Road Recycling & Processing,,,
1145,"Downum's Waste Services, Inc.",,,
1146,Drummond Sanitary District,,,
1147,Dubuque Metropolitan Area Solid Waste Agency,,,
1148,Duchesne County,,,
1149,Dunn Construction LLC,,,
1150,Dunn County,,,
1151,Duplin County Transfer Station,,,
1152,"Duquesene Energy, Inc.",,,
1153,Durante Brothers Construction Corp.,,,
1154,Duseau Trucking,,,
1155,Dutchess County Resource Recovery Agency,,,
1156,Duval County,,,
1157,"E. L. Harvey & Sons, Inc.",,,
1169,Eagle County,,,
1170,Eagle Enterprises Recycling Inc.,,,
1171,"Eagle Management Services, Inc",,,
1172,Eagle Waste and Recycling Inc.,,,
1173,"Earth First Aid Curbside Recycling, Inc.",,,
1174,Earth Waste & Metal,,,
1175,East Central Solid Waste Commission,,,
1176,"East Coast Recycling, Inc. (ECR)",,,
1177,East Penn Sanitation Inc,,,
1178,East Stockton Transfer & Recycling,,,
1179,Eastern Concrete Materials,,,
1180,Eastern Montana Industries,,,
1181,Eaton-Moery Environmental Services Inc,,,
1158,EC Waste,,,
1159,ECM of Ridgely,,,
1160,ECO-C,,,
1184,Ecology Action of Texas,,,
1183,EcoMaine,,,
1185,"Ecospace Business Park, Inc",,,
1182,"Eco-Tech, LLC",,,
1161,ECP,,,
1186,Eddy County,,,
1187,Eden Valley Solid Waste District,,,
1188,Edgecombe County,,,
1189,Edgefield County,,,
1190,Edwards County,,,
1191,Effingham County,,,
1162,EFI Recycling,,,
1163,EJE Recycling & Disposal,,,
1192,El Paso C&D Recycling,,,
1193,Elbert County,,,
1194,Eldredge Inc,,,
1195,"Electronic Salvage Industries, LLC",,,
1164,ELHAR,,,
1196,Elkhart County,,,
1197,Elliott Construction Company,,,
1198,Ellis County,,,
1199,Ellis Recycling Co,,,
1200,Emadco Disposal Service,,,
1201,Emanuel County,,,
1165,EMCO Waste Services,,,
1202,Emery County,,,
1203,"Emil Norsic & Son, Inc.",,,
1204,Emmet County,,,
1205,Emmet County Council of Governments,,,
1166,EMR Inc,,,
1206,Emterra Environmental USA,,,
1207,Enviro-Express Inc,,,
1208,"Environmental Alternatives, Inc.",,,
1209,"Environmental Concerns Organization, Inc. (ECO)",,,
1210,Environmental Land Services,,,
1211,"Environmental Operators, LLC",,,
1212,"Environmental Options, Inc.",,,
1213,Environmental Transfer Systems Inc,,,
1167,EPS,,,
3490,eRecycleNY,,,
1214,Erie County,,,
1215,Escalante City,,,
1216,Escambia County Solid Waste Management,,,
1168,ESI,,,
1217,Essex County & Town of Tappahannock,,,
1218,Estancia Valley Solid Waste Authority,,,
1219,Eureka Recycling,,,
1220,Evans County,,,
1221,Evans Recycling Inc.,,,
1222,Evergreen Disposal Service Inc,,,
1223,Evergreen Recycling,,,
1224,Excell Disposal,,,
1225,Exceptional Foresters Inc,,,
1227,Faherty Inc,,,
1228,Fairbanks North Star Borough,,,
1229,Fairfax County,,,
1230,Fallon County,,,
1231,"Far West Fibers, Inc.",,,
1232,Fauquier County,,,
1233,"Fay Portable Buildings, Inc.",,,
1234,Fayette County,,,
1235,Fayette County Commission,,,
1236,Faztec Industries,,,
1226,"FCC Environmental, LLC",,,
1237,Fentress County,,,
1238,Ferry County,,,
1239,Fillmore County,,,
1240,"Finne Brothers Refuse Systems, Inc",,,
1241,First Piedmont Corporation,,,
1242,First Star Fibers,,,
1243,First Step Recycling,,,
1244,Fishers Island Waste Management,,,
1245,"Five Star Carting, Inc.",,,
1246,Flathead County,,,
1247,Florence Recycling & Disposal,,,
1248,"Florida Concrete Recycling, Inc.",,,
1249,Florida Department of Corrections,,,
1250,Florida Fibre Recycling,,,
1251,Floyd County,,,
1252,Floyd-Mitchell-Chickasaw Solid Waste Mgmt Agency,,,
1253,Fluvanna County,,,
1254,Fontana Recycling Center,,,
1255,Ford County,,,
1256,"Formica Construction, Inc.",,,
1257,Forsyth County,,,
1258,Fort Clark Springs Association,,,
1259,Four Corners Recycling,,,
1260,Franklin County,,,
1261,Franklin County Solid Waste Management Authority,,,
1262,Franklin County Solid Waste Management District,,,
1263,Frederick County,,,
1264,Freehold Cartage Inc,,,
1265,"Freeway Transfer, Inc.",,,
1266,Fremont County,,,
1267,Fremont County Solid Waste District,,,
1268,Fremont Recycling & Transfer Station,,,
1269,Fresno County,,,
1270,Friedman Recycling Company,,,
1271,"Friends Recycling, LLC",,,
1272,Fruitland Township,,,
1273,Fruitridge Road Land Company,,,
1274,Full Circle Recycling,,,
1275,Fulton County,,,
1276,Fultz and Son Hauling Inc,,,
1277,G M Transfer Inc,,,
1278,G. Mello Disposal Corp.,,,
1285,Gadsden County,,,
1286,"Gaeta Interior Demolition, Inc.",,,
1287,"Gaeta Recycling Co., Inc",,,
1288,Galaxy Recycling,,,
1289,Gallatin County,,,
1290,Gallia-Jackson-Meigs-Vinton Recycling Center,,,
1291,Gambi Disposal Inc,,,
1292,Garden Isle Disposal,,,
1293,"Gardena Recycling Center, Inc.",,,
1294,Garfield County,,,
1295,Garland County,,,
1296,Garner State Park,,,
1297,Garner Tire Company MRF,,,
1298,Garrett County,,,
1299,Garrison Disposal Company,,,
1300,Gary's Service,,,
1301,Gaston County,,,
1302,Gateway Recycling and Waste Reduction Inc,,,
1279,GEL Corporation,,,
1280,GEL Recycling,,,
1303,Gem County,,,
1304,Genesee Waste Services Inc.,,,
1305,Genesis Ventures,,,
1306,Genessee County ARC,,,
1308,Georgetown County,,,
1307,GeoSource,,,
1309,Gerlach General Improvement District (GGID),,,
1310,Gershow Recycling Corp.,,,
1311,Get Rid of It By Recycling Inc,,,
1281,GFL,,,
1312,Gila County,,,
1313,Gilchrist County,,,
1314,Giles County Public Service Authority,,,
1315,Gilmer County,,,
1316,Gilpin County,,,
1317,"Gilton Resource Recovery Facility, Inc.",,,
1318,Giordano Recycling Corp.,,,
1319,Glades County,,,
1320,Glasscock County,,,
1321,Glenn County,,,
1322,Global Container Terminals Inc.,,,
1323,Gloucester County Improvement Authority,,,
1324,Gogebic Range Solid Waste Management Authority,,,
1325,Going Garbage & Recycling Inc.,,,
1326,Gold Coast Recycling Inc,,,
1327,Golden Triangle Regional SWMA,,,
1328,Golden Valley Environmental LLC,,,
1329,Goldthwaite Sanitary Landfill,,,
1330,Goochland County,,,
1331,Goodwill Industries,,,
1332,Goodwin Septic Services,,,
1333,Gove County,,,
1334,Graham County,,,
1335,"Grand Central Recycling & Transfer Station, Inc.",,,
1336,Grand County,,,
1337,Granite County Solid Waste District,,,
1338,"Granite Solid Waste Disposal, Inc.",,,
1339,Grant County,,,
1340,Grant Parish Police Jury,,,
1341,Granville County,,,
1342,Gray County,,,
1343,Great American Disposal Inc,,,
1344,"Great Gardens, LLC",,,
1345,Great River Regional Waste Authority (GRRWA),,,
1346,Greater Lebanon Refuse Authority,,,
1347,Greater New Bedford Regional Refuse Mgmt District,,,
1348,Greeley County,,,
1349,Green Arc Inc.,,,
1350,Green County,,,
1351,Green Day Waste & Recycling,,,
1352,Green Earth L.L.C.,,,
1353,"Green Group Holdings, LLC",,,
1354,"Green Machine Shingle Recycling, LLC",,,
1355,Green Recycling Solutions,,,
1356,Green Sky Industries,,,
1357,Green Stream Recycling,,,
1358,Green Waste of Tehama,,,
1361,Greenbrier County,,,
1362,Greenburgh Township,,,
1359,Green-del Sanitation & Recycling,,,
1363,Greene County,,,
1364,Greenlee County,,,
1365,Greensville County,,,
1366,Greentree Solid Waste Authority,,,
1367,Greenville County,,,
1368,Greenwaste Recovery Inc,,,
1369,Greenway Recycling,,These should be different based on website?: https://www.greenwayrecycles.com/,
1360,"GreenWay Recycling Services, LLC",,https://www.google.com/search?{google:acceptedSuggestion}oq=Greenway+Recycling&sourceid=chrome&ie=UTF-8&q=Greenway+Recycling,
1370,Greenwood County,,,
1371,Gregory County,,,
1372,"Grenelefe Recyclers, Inc.",,,
1373,Griffin Brothers Companies,,,
1282,GRNGR,,,
1374,Grover's Stump Dump,,,
1375,Grundy County,,,
1283,GT Trash Services Inc,,,
1376,Gunnison County,,,
1377,Guthrie County,,,
1284,GVG Sanitation,,,
1378,H & H Recycling,,,
1379,"H.A.M. Sanitary Landfill, Inc.",,,
1380,Habersham County,,,
1381,Haig Point SW TS,,,
1382,"Hainesport Industrial Railroad, LLC.",,,
1383,Halifax County,,,
1384,Hall County,,,
1385,Hamilton County,,,
1386,Hamm Waste Services,,,
1387,Hancock County,,,
1388,Handle Safe Systems LLC,,,
1389,Hanover County,,,
1390,Hansen Sanitation,,,
1391,Haralson County,,,
1392,Hardee County,,,
1393,Hardeman County,,,
1394,Hardin County,,,
1395,Harford County,,,
1396,Harley Hollan Companies,,,
1397,Harnett County,,,
1398,Harney County,,,
1399,Harper County,,,
1400,Harris Containers,,,
1401,Harris County,,,
1402,Harris Road LLC,,,
1403,Harris Transfer & Disposal Inc,,,
1404,Harrison County Landfill Commission,,,
1405,Hart County,,,
1406,"Harter's Trash & Recycling, Inc",,,
1407,Hartford Landfill MDC,,,
1408,Hartley County,,,
1409,Harvey County,,,
1410,Haskell County,,,
1411,Hawaii County,,,
1412,Hays County,,,
1413,Haywood County,,,
1414,Henderson County,,,
1415,Henrico County,,,
1416,Henry County,,,
1417,Henson Disposal,,,
1418,Henson Transfer Station,,,
1419,Herb Holden Trucking Inc,,,
1420,Heritage Environmental Services,,,
1421,Hernando County,,,
1422,Hertford County,,,
1424,Hiawatha Shores,,,
1425,Hickman County,,,
1426,Hidalgo County,,,
1427,Hiep Sanitation,,,
1428,High Country Joint Powers Board LF,,,
1429,High Plains Recyclers,,,
1430,Highland County,,,
1431,Highlands county,,,
1432,Hill County,,,
1433,Hill Sand Company Inc,,,
1434,Hillsborough County,,,
1435,"Hilltopper Refuse & Recycling Service, Inc.",,,
1436,"Hinkle Holding Company, LLC",,,
1437,Hinsdale County,,,
1423,Hi-Tech Resource Recovery,,,
1438,Hodgdon Brothers & Sons Inc,,,
1439,Hodgeman County,,,
1440,Hoffman Construction Co Inc,,,
1441,Hoke County,,,
1442,Holdorff's Recycling Ctr,,,
1443,Holton Township,,,
1444,Homewood Disposal,,,
1445,Honolulu Recovery Systems,,,
1446,Hoosier Pallet Recycling Inc,,,
1447,Hopkinsville Solid Waste Authority,,,
1448,Horry County Solid Waste Authority,,,
1449,Houghton County,,,
1450,Houston County,,,
1451,Howard County,,,
1452,Howard Disposal,,,
1453,"Howie's Recycling, Inc.",,,
1454,"Hubbard Brothers, Inc.",,,
1455,Hubbard County,,,
1456,Hudspeth County,,,
1457,Huerfano County,,,
1458,Hull-Daisetta Landfill,,,
1459,Humbert Refuse & Recycling,,,
1460,Humboldt County,,,
1461,Humboldt Sanitation Co Inc,,,
1462,Humboldt Waste Management Authority,,,
1463,Humpf Sanitation & Trucking,,,
1464,Huntsville Solid Waste Disposal Authority,,,
1465,Huron County,,,
1466,Hutchinson County,,,
1467,ICS Waste and Recycling,,,
1471,Idaho Waste Systems Inc,,,
1472,Ideal Refuse Removal,,,
1473,Ideal Township,,,
1474,Imperial County,,,
1475,Importico's Inc.,,,
1468,"IMS Recycling Services, Inc.",,,
1469,INC Environmental Recycling,,,
1476,"Independent Recycling Services, Inc.",,,
1477,Indiana Shingle Recycling,,,
1478,Indiana State University,,,
1479,Indiana Waste Service,,,
1480,Industrial R & R of Hanover Inc,,,
1481,"Industrial Water Service, Inc.",,,
1482,Ingrum Waste Disposal,,,
1483,Inland Waste Solutions,,,
1484,"Inner Plant Systems, Inc",,,
1485,"InterMountain Disposal, Inc.",,,
1486,International Paper,,,
1487,Interstate Disposal,,,
1488,"Interwest Paper, Inc.",,,
1489,Inyo County Integrated Waste Management,,,
1490,"Iowa Waste Systems, Inc.",,,
1470,IP,,,
1491,Iredell County,,,
1492,Iron County,,,
1493,Isabella County Recycling Center,,,
1494,Island County,,,
1495,Island Demo,,,
1496,Island Recycling,,,
1497,Islip Resource Recovery Agency,,,
1498,Itasca County,,,
1499,J & J Recycling,,Probably different companies,
1500,J & J Recycling and Mudek Trucking,,,
1501,J & J Refuse Services Inc,,,
1502,J Bruno & Sons Inc,,,
1503,J D Recycling Inc,,,
1504,J D Refuse Service,,,
1505,J Fons Company Inc,,,
1506,J&A Waste Corporation,,,
1507,"J. Manzo Recycling Co., LLC",,,
1508,"J. Pyskaty Disposal, Inc.",,,
1509,J. Schwartz Motor Transportation,,,
1510,"J. Vinch & Sons, Inc.",,,
1511,"J.C. Fibers Rochester, Inc.",,,
1517,Jackpot Transfer Station,,,
1518,Jackson Community Recycling,,,
1519,Jackson County,,,
1520,Jackson Fibers,,,
1521,Jackson Parish Police Jury,,,
1522,Jackson Township,,,
1523,James G. Grant Company,,,
1524,James Wolfe Contracting Inc,,,
1525,Jamson Environmental,,,
1516,"JaSar Recycling, Inc.",,,
1526,Jasper County,,,
1527,Jax Recycling Inc,,,
1528,Jefferson County,,,
1529,Jefferson County Solid Waste Authority,,,
1530,Jefferson Davis County,,,
1531,Jefferson Parish,,,
1532,"Jeffrey A. Simpson, Inc.",,,
1533,"Jendro Sanitation Services, Inc.",,,
1534,Jenkins County,,,
1535,Jet Paper Stock Corp.,,,
1536,Jewell County,,,
1512,JFC Engineers,,,
1537,Jim Hogg County,,,
1513,"JKS Ventures, Inc.",,,
1514,JMW Companies,,,
1538,"Jo-com Trucking, Inc.",,,
1539,John Danna & Sons Inc,,,
1540,John L Hardin,,,
1541,"John Rock & Co., Inc.",,,
1542,John Savoy Enterprises,,,
1544,Johnny on the Spot,,,
1543,John's Disposal,,,
1545,Johnson County,,,
1546,Johnston County,,,
1547,Jones County,,,
1548,"Joseph J. Brunner, Inc.",,,
1549,"Journey, Ltd.",,,
1515,JPMAS,,,
1550,Juab Rural Development Agency,,,
1551,Juneau County,,,
1552,Junoll Services,,,
1553,Justus Recycling Corp,,,
1554,K & W Materials & Recycling LLC,,,
1555,K B Parts Inc,,,
1556,K.C. Development Inc,,,
1558,Kaho Co,,,
1559,"Kahut Waste Services, LLC",,,
1560,Kalix,,,
1557,KaMaR Recycling,,,
1561,Kanawha County Solid Waste Authority,,,
1562,Kandiyohi County,,,
1563,Kane County,,,
1564,Karl Frederick rudolph TS,,,
1565,Kearny County,,,
1566,"Keep North Fulton Beautiful, Inc.",,,
1567,Kenai Peninsula Borough,,,
1568,Kendallville Iron & Metal Inc.,,,
1569,Kent County,,,
1570,Kern County,,,
1571,"Ketterling Services, Inc.",,,
1572,Kewaunee County,,,
1573,Key West Transfer Station,,,
1574,Keystone Sanitary Landfill Inc,,,
1575,Kid's Waterfront Corp.,,,
1576,Kieffer Sanitation,,,
1577,Kilbarger Construction Inc,,,
1578,Kimble Companies,,,
1579,Kimble Transfer and Recycling,,,
1580,King Brothers Trucking,,,
1581,King County,,,
1582,Kingdom Projects Inc,,,
1583,Kingfisher County Transfer Station,,,
1584,Kings Waste and Recycling Authority,,,
1585,Kiowa County,,,
1586,Kirkwood Meadows PUD,,,
1587,Kit Carson County,,,
1588,Kitsap County,,,
1589,Kittitas County,,,
1590,Klamath County,,,
1591,Klickitat County,,,
1592,Knox County,,,
1593,Koochiching County,,,
1594,Kootenai County,,,
1595,Kossuth Waste Management Association,,,
1596,Krakow Township,,,
1597,L & J Waste Recycling,,,
1598,L P Gill Inc,,,
1599,L. L. Huff Company Inc,,,
1604,La Crosse County,,,
1606,Lackawanna County,,,
1607,Lafayette County,,,
1608,Lake Area Disposal Service Inc.,,,
1609,Lake County,,,
1610,Lake of the Woods County,,,
1611,"Lakestate Industries, Inc.",,,
1612,Lamar County Regional Solid Waste Authority,,,
1605,LaMela Sanitation,,,
1613,Lamoille Regional Solid Waste Management District,,,
1614,Lancaster County Solid Waste Management Authority,,,
1615,Land & Lakes Company,,,
1616,Lander County,,,
1617,Landfill LLC,,,
1619,Landfill of North Iowa SW Agency,,,
1618,Landfill Reduction & Recycling,,,
1620,"Landfills, Inc.",,,
1621,Lane County,,,
1622,Lang EnviroVentures,,,
1623,Laramie County,,,
1624,Larimer County,,,
1625,Larrys Topcat,,,
1626,Lassen Regional Solid Waste Authority,,,
1627,"Latah Sanitation, Inc.",,,
1628,Lauderdale County,,,
1629,Laurens County,,,
1630,Lawrence County Rubbish Site,,,
1631,Lawrence County Solid Waste Management District,,,
1600,LCM Corporation,,,
1632,Le Flore County Solid Waste,,,
1633,Lea County Solid Waste Authority,,,
1634,Leach's Custom Trash Service,,,
1635,Leake County,,,
1636,Lee County,,,
1637,Lehman Township,,,
1638,"Lemcor, Inc.",,,
1639,Lemhi County,,,
1640,Lenoir County,,,
1641,Lenox Valley Waste Transfer Facility,,,
1642,Leon County,,,
1643,Leslie County,,,
1644,Letcher County,,,
1645,Levelland Recycling Center & Landfill,,,
1646,Levy County,,,
1647,Lewis & Clark County,,,
1648,Lewis County,,,
1649,Lewsitown Disposal,,,
1650,Lexington Area Solid Waste Agency,,,
1651,Lexington County,,,
1652,Lexington-Fayette Urban County Government,,,
1601,LFF Recycling Inc.,,,
1653,"Liberty Ashes, Inc.",,,
1654,Liberty County,,,
1655,Liberty County Solid Waste Authority,,,
1656,"Liberty Environmentalists, Inc.",,,
1657,"Liberty Roll-Offs & Recycling, LLC",,,
1658,Lincoln County,,,
1659,Lincoln County Recycling Plant,,,
1660,Lincoln Recycling of New Jersey,,,
1661,Lincoln True Count Redemption,,,
1662,Link Environmental,,,
1663,Linn County,,,
1664,"Liotta & Sons, Inc.",,,
1665,Lisbon Falls Redemption Ctr,,,
1666,Little River County,,,
1667,Livingston & Co,,,
1602,"LJP Enterprises, Inc.",,,
1668,Llano Recycling Opportunities,,,
1669,"Lloyd's Loads, L.L.C.",,,
1670,Local Waste Services Inc,,,
1671,Lockport Recycling,,,
1672,Logan County,,,
1673,Logan County Solid Waste Management District,,,
1674,Lonoke County,,,
1675,Lopez Solid Waste Disposal District (LSWDD),,,
1676,Los Alamos County,,,
1677,Los Angeles County Department of Public Works,,,
1678,Los Angeles County Sanitation Districts,,,
1679,Los Angeles de la Ca±ada Landfill,,,
1680,Loudoun County,,,
1681,Louisa County Conservation Board,,,
1682,Loup Central Landfill Association,,,
1683,Love's Transfer Station LLC,,,
1684,Lowndes County,,,
1603,LT Disposal Inc & Centerpoint Transfer Station,,,
1685,Lucas County Solid Waste Management District,,,
1686,Lundell Manufacturing Company,,,
1687,Lycoming County Resource Management Services,,,
1688,Lydel Asphalt,,,
1689,Lyon County,,,
1690,M&M Trucking,,,
1697,Macon County,,,
1698,Macon-Bibb Solid Waste Department,,,
1699,Madison County,,,
1700,Madison Materials,,,
1701,Magalloway Plantation TS,,,
1702,Maggio Environmental Services,,,
1703,Maharg's Trash Service,,,
1704,Mahaska County,,,
1705,Mahopac Septic,,,
1706,Main Post Landfill,,,
1707,Malheur County,,,
1708,Mall of America Co.,,,
1709,Malta Class II Landfill,,,
1710,Manatee County,,,
1711,Manistique/Slining Company,,,
1712,Manley's Recycling Center,,,
1713,Mannkota Recycling,,,
1715,Marathon County,,,
1714,MarBorg Industries,,,
1716,Maricopa County,,,
1717,"Marine Rigging Ltd., Inc.",,,
1718,Marinette County,,,
1719,Marion County,,,
1720,Marion County Landfill,,,
1721,Marion County PRC 3,,,
1722,Marion County Solid Waste Department,,,
1723,Marion Township,,,
1724,Mariposa County,,,
1725,Mark Robinson Hauling LLC,,,
1726,Mark Wright Construction & Disposal,,,
1727,Mark Wright Disposal,,,
1728,"Marmon Trucking & Sanitation Inc,",,,
1729,Marpan Recycling,,,
1730,Marquette County Solid Waste Management Authority,,,
1731,Marshall & Kittson County,,,
1732,Marshall County,,,
1733,Marshall County Solid Waste Management Commission,,,
1734,Martin County,,,
1735,Maryland Environmental Service,,,
1736,Mason City Recycling Center,,,
1737,Mason County,,,
1738,"Master Fibers, Inc",,,
1739,"Master Recycling, Inc.",,,
1740,Matagorda County,,,
1741,Matanuska-Susitna Borough,,,
1742,Matejka Recycling,,,
1743,Material Recovery and Transfer LLC,,,
1744,"Mathiowetz Construction Company, Inc.",,,
1745,Mattera Enterprises Recycling,,,
1746,Mattituck Environmental Services,,,
1747,Maui County,,,
1748,Maury County,,,
1749,Maverick County Landfill,,,
1750,Mayfield Carting Service,,,
1751,Mazza & Sons Inc,,,
1691,MB Bark LLC,,,
1752,McCurtain County,,,
1753,McDowell County,,,
1754,McDuffie County,,,
1755,McGregor Transfer Station,,,
1756,McIntosh County,,,
1757,McKenzie County,,,
1758,"McKenzie Recycling, Inc.",,,
1763,Mckinley Fiber Company,,,
1764,Mcleod County,,,
1759,McMinn County,,,
1760,McMullen County,,,
1761,McPherson Area Solid Waste Utility,,,
1762,McVicker Excavating Inc.,,,
1765,Mecklenburg County,,,
1766,Medina County,,,
1767,"Medina Recycling, Inc.",,,
1768,Meeker County,,,
1769,Meigs County,,,
1770,Melrose Homeowner's Association,,,
1771,Melrose Township,,,
1772,Memphis Recycling Services,,,
1773,Mendocino Solid Waste Management Authority,,,
1774,Merced County,,,
1775,Mercer County,,,
1776,Mercer County Solid Waste Authority,,,
1777,Mercer Group International,,,
1778,Mercer Redemption Ctr,,,
1779,Merrell Bros. Inc,,,
1780,"Metalpro, Inc.",,,
1781,"Methvin Sanitation, Inc.",,,
1782,Metro Waste Authority,,,
1783,"Metropolitan Transfer Station, Inc.",,,
1784,Miami County,,,
1785,Miami-Dade County,,,
1692,MIC,,,
1786,Michael Brothers Hauling & Recycling,,,
1787,Mid America Recycling,,,
1788,Mid Valley Disposal,,,
1789,Mid-Coast Solid Waste Corporation,,,
1794,Middle Georgia Regional Solid Waste Authority,,,
1795,Middlesex County,,,
1796,Middlesex County Utilities Authority,,,
1797,Middletown Carting C&D Processing Facility,,,
1798,Midland Davis Corporation,,,
1790,Mid-Maine Solid Waste Association (MMSWA),,,
1791,Mid-Maine Waste Action Corporation,,,
1792,"Mid-Michigan Recycling, L.C.",,,
1793,Mid-Ohio Sanitation & Recycling LLC,,,
1799,Midstate Recovery Systems LLC,,,
1800,Midwest Companies,,,
1801,"Midwest Compost, LLC",,,
1802,Midwest Environmental Consulting,,,
1803,Midwest Fibre Sales Corporation,,,
1804,Midwest Material Manegement,,,
1805,Mifflin County Solid Waste Authority,,,
1806,Milby Sanitation,,,
1807,Millard County,,,
1808,Millennium Recycling Inc.,,,
1809,Miller County Solid Waste & Recycling,,,
1810,Miller Recycling Corporation,,,
1811,Mills Garbage Service,,,
1812,Mineral County,,,
